 ,Area,Mean,Min,Max
985,2010.714,255,255,255
986,725.053,255,255,255
987,284.041,255,255,255
988,1225.863,255,255,255
989,523.234,255,255,255
990,642.831,255,255,255
991,441.012,255,255,255
992,695.154,255,255,255
993,530.709,255,255,255
994,500.810,255,255,255
995,523.234,255,255,255
996,1704.249,255,255,255
997,612.931,255,255,255
998,321.415,255,255,255
999,1128.691,255,255,255
1000,366.264,255,255,255
1001,1076.367,255,255,255
1002,493.335,255,255,255
1003,979.195,255,255,255
1004,336.365,255,255,255
1005,254.142,255,255,255
1006,672.730,255,255,255
1007,127.071,255,255,255
1008,201.819,255,255,255
1009,381.213,255,255,255
1010,560.608,255,255,255
1011,455.961,255,255,255
1012,485.860,255,255,255
1013,470.911,255,255,255
1014,358.789,255,255,255
1015,553.133,255,255,255
1016,814.750,255,255,255
1017,373.739,255,255,255
1018,710.104,255,255,255
1019,426.062,255,255,255
1020,508.285,255,255,255
1021,403.638,255,255,255
1022,560.608,255,255,255
1023,388.688,255,255,255
1024,455.961,255,255,255
1025,568.083,255,255,255
1026,814.750,255,255,255
1027,276.567,255,255,255
1028,388.688,255,255,255
1029,403.638,255,255,255
1030,822.225,255,255,255
1031,911.922,255,255,255
1032,381.213,255,255,255
1033,336.365,255,255,255
1034,530.709,255,255,255
1035,261.617,255,255,255
1036,478.386,255,255,255
1037,284.041,255,255,255
1038,1151.115,255,255,255
1039,859.599,255,255,255
1040,441.012,255,255,255
1041,508.285,255,255,255
1042,433.537,255,255,255
1043,112.122,255,255,255
1044,769.902,255,255,255
1045,216.768,255,255,255
1046,792.326,255,255,255
1047,366.264,255,255,255
1048,112.122,255,255,255
1049,418.587,255,255,255
1050,403.638,255,255,255
1051,373.739,255,255,255
1052,515.759,255,255,255
1053,313.941,255,255,255
1054,911.922,255,255,255
1055,284.041,255,255,255
1056,388.688,255,255,255
1057,381.213,255,255,255
1058,590.507,255,255,255
1059,358.789,255,255,255
1060,336.365,255,255,255
1061,269.092,255,255,255
1062,762.427,255,255,255
1063,807.276,255,255,255
1064,1876.168,255,255,255
1065,142.021,255,255,255
1066,426.062,255,255,255
1067,269.092,255,255,255
1068,426.062,255,255,255
1069,553.133,255,255,255
1070,373.739,255,255,255
1071,358.789,255,255,255
1072,814.750,255,255,255
1073,239.193,255,255,255
1074,919.397,255,255,255
1075,224.243,255,255,255
1076,1240.813,255,255,255
1077,426.062,255,255,255
1078,590.507,255,255,255
1079,463.436,255,255,255
1080,1061.418,255,255,255
1081,530.709,255,255,255
1082,1076.367,255,255,255
1083,201.819,255,255,255
1084,403.638,255,255,255
1085,209.294,255,255,255
1086,403.638,255,255,255
1087,470.911,255,255,255
1088,298.991,255,255,255
1089,485.860,255,255,255
1090,478.386,255,255,255
1091,1076.367,255,255,255
1092,597.982,255,255,255
1093,164.445,255,255,255
1094,455.961,255,255,255
1095,500.810,255,255,255
1096,156.970,255,255,255
1097,448.486,255,255,255
1098,949.296,255,255,255
1099,1136.166,255,255,255
1100,508.285,255,255,255
1101,396.163,255,255,255
1102,560.608,255,255,255
1103,597.982,255,255,255
1104,358.789,255,255,255
1105,269.092,255,255,255
1106,336.365,255,255,255
1107,500.810,255,255,255
1108,568.083,255,255,255
1109,2795.566,255,255,255
1110,904.448,255,255,255
1111,298.991,255,255,255
1112,597.982,255,255,255
1113,597.982,255,255,255
1114,814.750,255,255,255
1115,366.264,255,255,255
1116,396.163,255,255,255
1117,336.365,255,255,255
1118,493.335,255,255,255
1119,463.436,255,255,255
1120,545.659,255,255,255
1121,366.264,255,255,255
1122,373.739,255,255,255
1123,411.113,255,255,255
1124,1547.278,255,255,255
1125,433.537,255,255,255
1126,597.982,255,255,255
1127,426.062,255,255,255
1128,119.596,255,255,255
1129,665.255,255,255,255
1130,545.659,255,255,255
1131,560.608,255,255,255
1132,904.448,255,255,255
1133,762.427,255,255,255
1134,433.537,255,255,255
1135,448.486,255,255,255
1136,112.122,255,255,255
1137,328.890,255,255,255
1138,702.629,255,255,255
